Decisions, Decisions	Větvení, aneb nechť padne rozhodnutí	tutbranch-cztutbranch
In essence the user appears to be in control, whereas in fact, the programmer is in control since the he has anticipated all the valid inputs and how the program will react.	Uživateli se v podstatě zdá, že postup řídí, zatímco ve skutečnosti má řízení v rukou programátor, který předvídal, jak mají vypadat všechny platné vstupy a jak má na ně program reagovat.	tutbranch-cztutbranch
The intelligence on display is that of the programmer, not the machine - computers after all are stupid!	Projevovaná inteligence tedy patří programátorovi, nikoliv stroji. Počítače jsou ve své podstatě hloupé!	tutbranch-cztutbranch
You see how easily we can extend our program just by adding a few lines and combining sequences (the blocks that calculate the area), loops (the while loop) and conditionals (the if/elif structure).	Povšimněte si jak snadno můžeme svůj program zdokonalit přidání pouhých pár řádků a zkombinováním posloupností (bloků pro výpočet plochy), cyklů (zde cyklus while) a podmíněných příkazů (konstrukce if/elif/else).	tutbranch-cztutbranch
Dijkstra's three building blocks of programming.	Jde o tři z Dijkstrových základních programátorských stavebních kamenů.	tutbranch-cztutbranch
Having covered all three you can, in theory, now go out and program anything, but there are a few more techniques we can learn to make things a bit easier, so don't rush off just yet.	Pokud zvládnete všechny tři, můžete teoreticky naprogramovat cokoliv. Ale můžeme se naučit ještě několik technik, které nám programování dále usnadní. Takže zatím mějte ještě trochu strpení.	tutbranch-cztutbranch
Modifying collections from inside loops	Změny v kolekci během provádění cyklu	tutbranch-cztutbranch
We mentioned in the looping topic that modifying a collection from inside a loop was a difficult thing to do, but never got round to explaining how to do it!	Když jsme se bavili o cyklech, zmínili jsme se o tom, že úprava kolekce během průchodu cyklem, konkrétné rušení prvků v procházené kolekci, nemusí být zcela jednoduché. Ale nevysvětlili jsme proč!	tutbranch-cztutbranch
The reason is, we had to wait for branching to be explained first.	Důvodem pro tento odklad byla skutečnost, že jsme museli nejdříve vysvětlit pojem větvení.	tutbranch-cztutbranch
So here is the solution:	Vraťme se tedy k řešení problému.	tutbranch-cztutbranch
If we need to modify the elements of a collection in place we can use a while loop to make the changes as we iterate over it.	Pokud potřebujeme měnit obsah kolekce během jejího zpracování (bez kopírování do jiné kolekce), můžeme k tomu využít vlastností cyklu while.	tutbranch-cztutbranch
We can do this because in a while construct we have explicit control over the index, unlike the situation in a for loop where the index is automatically updated.	Při použití konstrukce while totiž přímo pracujeme s obsahem indexové proměnné. Srovnejte to se situací, kdy se použije cyklus for, který indexovou proměnnou upravuje automaticky.	tutbranch-cztutbranch
Let's see how to delete all zeros from a list:	Podívejme se, jak můžeme ze seznamu vypustit všechny prvky s nulovou hodnotou:	tutbranch-cztutbranch
myList = [1,2,3,0,4,5,0] index = 0 while index < len(myList): if myList[index] == 0: myList.remove(myList[index]) else: index += 1 print myList	seznam = [1, 2, 3, 0, 4, 5, 0] index = 0 while index < len(seznam): if seznam[index] == 0: del seznam[index] else: index += 1 print seznam	tutbranch-cztutbranch
The thing to note here is that we do not increment the index if we remove an item, we rely on the deletion moving everything up so that the old index value now points at the next item in the collection.	Povšimněte si, že v případě odstraňování prvku neprovádíme zvyšování indexu. Spoléháme na to, že se při smazání položky vše posune, takže původní hodnota indexu bude poté ukazovat na další prvek kolekce.	tutbranch-cztutbranch
We use an if/else branch to control when we increment the index.	Zvyšování indexu se tedy provádí jen v jedné větvi konstrukce if/else.	tutbranch-cztutbranch
It's very easy to make a mistake doing this kind of thing so test your code carefully.	Při podobných obratech se můžeme velice snadno dopustit chyby, proto vždy funkčnost pečlivě otestujte.	tutbranch-cztutbranch
There is another set of Python functions which are specifically designed for manipulating list contents and we look at them in the Functional Programming topic in the advanced section of the tutorial.	V Pythonu můžeme používat jistou sadu funkcí, které byly přímo navrženy pro manipulaci s obsahy senamů. Seznámíme se s nimi v rámci tématu Funkcionální programování, tedy v části pro pokročilé.	tutbranch-cztutbranch
Things to Remember	Zapamatujte si	tutbranch-cztutbranch
Use if/else to branch	Pro větvení používáme if/else.	tutbranch-cztutbranch
The else is optional	Část else je nepovinná.	tutbranch-cztutbranch
Multiple decisions can be represented using a Case or if/elif construct	K rozhodnutí podle více z možných hodnot lze využít konstrukci typu Case nebo konstrukci if/elif.	tutbranch-cztutbranch
Boolean expressions return True or False	Boolovské výrazy vracejí hodnoty True nebo False.	tutbranch-cztutbranch
Combining menus with Case constructs allows us to build a wide range of user controlled applications.	Kombinování menu s konstrukcemi Case nám umožňuje vytvářet širokou škálu aplikací řízených uživatelem.	tutbranch-cztutbranch
